order_id,customer_id,customer_name,email,phone,province,category,product_name,quantity,unit_price,discount_pct,order_date,ship_date,status,sales_rep,revenue
ORD011612,CUST01538,Carlos Chen,carlos.chen52@yahoo.com,+1-395-712-2783,New Brunswick,Home & Garden,Books Item 003,7,200.73,20,2022-10-31,2022-11-06,Shipped,REP033,1124.09
ORD013194,CUST00757,Barbara Jones,barbara.jones73@yahoo.com,+1-441-764-3265,Alberta,Clothing,Books Item 060,7,60.3,0,2022-05-12,2022-05-24,Cancelled,REP026,422.1
ORD010472,CUST00938,Susan Chen,susan.chen64@gmail.com,+1-937-987-3425,Quebec,Toys,Clothing Item 053,10,94.42,5,2023-07-29,2023-08-06,Returned,REP018,896.99
ORD014731,CUST01957,Karen Harris,karen.harris39@gmail.com,+1-650-604-5134,Quebec,Food & Beverage,Home & Garden Item 003,9,111.88,20,2022-06-26,2022-07-02,Completed,REP009,805.54
ORD011580,CUST00797,Ana Martin,ana.martin23@gmail.com,+1-553-860-6844,Manitoba,Clothing,Health & Beauty Item 069,20,61.88,0,2023-12-28,2024-01-02,Cancelled,REP001,1237.6
ORD010969,CUST00144,Xin Johnson,xin.johnson36@gmail.com,+1-761-648-5397,British Columbia,Clothing,Food & Beverage Item 053,2,446.2,20,2022-02-12,2022-02-26,Completed,REP001,713.92
ORD012224,CUST01620,Carlos Jones,carlos.jones19@yahoo.com,+1-880-890-3234,Manitoba,Food & Beverage,Health & Beauty Item 036,6,452.14,5,2023-08-14,2023-08-27,Cancelled,REP014,2577.2
ORD013881,CUST01386,Mohammed Lopez,mohammed.lopez67@company.ca,+1-415-759-3411,Ontario,Clothing,Electronics Item 175,18,301.59,20,2022-12-18,2022-12-30,Completed,REP001,4342.9
ORD014391,CUST01409,Jean Thompson,jean.thompson41@company.ca,+1-808-186-1925,New Brunswick,Health & Beauty,Clothing Item 126,11,742924.49,15,2023-06-19,2023-06-25,Pending,REP021,3884.92
ORD010751,CUST00651,Wei Anderson,,+1-652-535-7531,Manitoba,Electronics,Books Item 125,8,173.22,0,2022-09-25,2022-10-06,Shipped,REP029,1385.76
ORD010734,CUST00904,Sarah Kumar,user@,+1-399-956-5801,Alberta,Toys,Sports Item 197,12,119.29,10,2023-06-22,2023-07-01,Completed,REP045,1288.33
ORD010763,CUST01155,David Singh,david.singh84@yahoo.com,+1-344-397-9572,Alberta,Toys,Books Item 121,15,109.26,10,2024-06-29,2024-07-05,Pending,REP011,1475.01
ORD014947,CUST01428,Linda Martin,linda.martin70@hotmail.com,+1-723-939-1621,Ontario,Home & Garden,Electronics Item 175,8,88.2,20,2023-11-26,2023-12-06,Cancelled,REP042,564.48
ORD011126,CUST01181,Lisa Hernandez,lisa.hernandez54@outlook.com,,Quebec,Clothing,Home & Garden Item 102,2,318.48,5,2022-07-21,2022-07-22,Completed,REP014,605.11
ORD013580,CUST00479,Barbara Williams,barbara.williams92@company.ca,+1-328-743-9221,New Brunswick,Electronics,Food & Beverage Item 170,17,216.47,0,2023-11-24,2023-12-08,Shipped,REP028,3679.99
ORD013980,CUST00473,Jennifer Trivedi,jennifer.trivedi18@hotmail.com,+1-205-502-2178,Nova Scotia,Books,Food & Beverage Item 006,12,201.1,5,2022-03-30,2022-04-03,Cancelled,REP017,2292.54
ORD014586,CUST00406,Lisa Johnson,lisa.johnson45@company.ca,+1-373-755-1330,Saskatchewan,Health & Beauty,Electronics Item 142,7,292.81,5,2023-10-13,2023-10-14,Pending,REP027,1947.19
ORD013286,CUST00358,Lisa Garcia,user@.com,+1-984-894-4673,Ontario,Home & Garden,Books Item 068,13,489.64,5,2022-07-04,2022-07-10,Cancelled,REP025,6047.05
ORD010944,CUST00298,David Thompson,@domain.com,+1-753-747-3612,British Columbia,Sports,Food & Beverage Item 021,14,440.96,20,2024-05-30,2024-06-10,Returned,REP003,4938.75
ORD014198,CUST01655,Charles Lopez,charles.lopez34@yahoo.com,phone number,Manitoba,Books,Food & Beverage Item 001,13,498.69,20,2022-03-02,2022-03-13,Returned,REP022,5186.38
ORD012406,CUST01618,Xin Jones,xin.jones27@outlook.com,+1-705-716-5058,Ontario,Clothing,Home & Garden Item 041,1,43.01,5,2023-10-23,2023-11-06,Completed,REP033,40.86
ORD012718,CUST01343,Priya Trivedi,priya.trivedi27@gmail.com,(416) abc-1234,Saskatchewan,Sports,Toys Item 196,2,93.17,10,2022-03-17,2022-03-21,Cancelled,REP037,167.71
ORD014349,CUST01945,William Taylor,william.taylor61@gmail.com,+1-367-262-7187,Saskatchewan,Clothing,Books Item 167,8,211.09,5,2022-10-08,2022-10-18,Completed,REP004,1604.28
ORD010346,CUST01552,Linda Wang,linda.wang27@gmail.com,+1-381-549-9027,Saskatchewan,Health & Beauty,Sports Item 110,13,389.23,20,2023-11-19,2023-11-23,Cancelled,REP047,4047.99
ORD011420,CUST00574,Fatima Hernandez,fatima.hernandez55@outlook.com,+1-679-244-1600,Saskatchewan,Clothing,Health & Beauty Item 027,1,233.04,0,2023-01-14,2023-01-27,Returned,REP030,233.04
ORD010471,CUST00387,Akash Martinez,akash.martinez20@gmail.com,+1-435-287-1587,New Brunswick,Books,Home & Garden Item 181,15,221.03,15,2023-03-27,2023-03-28,Completed,REP029,2818.13
ORD011261,CUST01145,Priya Anderson,priya.anderson40@gmail.com,+1-868-675-6307,British Columbia,Electronics,Clothing Item 057,13,91.38,0,2022-08-23,2022-09-06,Returned,REP019,1187.94
ORD013809,CUST00847,Mohammed Singh,mohammed.singh28@hotmail.com,+1-575-464-1275,Quebec,Home & Garden,Clothing Item 169,20,337.04,20,2024-05-13,2024-05-26,Completed,REP017,5392.64
ORD012346,CUST01204,Priya Lee,priya.lee44@company.ca,+1-971-199-5975,Saskatchewan,Electronics,Books Item 159,15,92.11,5,2022-12-13,2022-12-14,Cancelled,REP027,1312.57
ORD012002,CUST01711,Richard Wang,richard.wang19@outlook.com,+1-776-117-4010,British Columbia,Home & Garden,Electronics Item 145,15,190.39,10,2023-11-08,2023-11-22,Completed,REP026,2570.26
ORD014343,CUST01861,Priya White,priya.white94@hotmail.com,+1-657-637-9573,British Columbia,Books,Toys Item 176,20,447.39,20,2022-09-13,2022-09-21,Returned,REP032,7158.24
ORD014009,CUST00969,Robert Johnson,robert.johnson72@company.ca,+1-659-261-7915,New Brunswick,Clothing,Toys Item 109,19,47.71,10,2022-02-15,2022-02-22,Cancelled,REP001,815.84
ORD014896,CUST01494,Xin Garcia,xin.garcia49@yahoo.com,+1-683-483-8450,Alberta,Sports,Home & Garden Item 009,1,212.9,0,2022-03-12,2022-03-25,Returned,REP015,212.9
ORD011049,CUST00349,Maria Thomas,maria.thomas74@outlook.com,+1-947-142-1645,New Brunswick,Electronics,Food & Beverage Item 054,8,208.04,20,2022-11-14,2022-11-28,Returned,REP030,1331.46
ORD010746,CUST01068,Jessica Brown,jessica.brown41@yahoo.com,+1-771-776-1583,Ontario,Sports,Home & Garden Item 151,13,436.7,5,2023-12-24,2024-01-06,Pending,REP017,5393.24
ORD010486,CUST00999,Fatima Lee,fatima.lee52@outlook.com,+1-725-705-8993,Alberta,Electronics,Electronics Item 109,19,161.35,0,2022-10-25,2022-10-26,Shipped,REP042,3065.65
ORD014550,CUST00477,Lisa Thomas,lisa.thomas12@gmail.com,+1-446-745-9823,Nova Scotia,Food & Beverage,Sports Item 086,20,150.99,5,2023-01-08,2023-01-10,Pending,REP001,2868.81
ORD014579,CUST00459,Ana White,ana.white81@outlook.com,+1-223-398-9255,Alberta,Sports,Food & Beverage Item 036,18,344.58,0,2023-04-22,2023-04-27,Cancelled,REP047,6202.44
ORD010848,CUST00099,Jean Martinez,jean.martinez26@yahoo.com,+1-214-246-1558,Alberta,Home & Garden,Food & Beverage Item 083,1,288.18,15,2023-01-30,2023-02-10,Shipped,REP013,244.95
ORD013045,CUST00313,Wei Miller,wei.miller35@yahoo.com,+1-500-735-5676,New Brunswick,Electronics,Electronics Item 035,12,62.46,0,2023-01-25,2023-02-08,Cancelled,REP042,749.52
ORD014167,CUST01292,Xin Johnson,xin.johnson75@company.ca,+1-490-463-6237,Saskatchewan,Books,Home & Garden Item 041,2,164.09,20,2022-07-06,2022-07-12,Cancelled,REP012,262.54
ORD011020,CUST00168,Charles Lee,charles.lee43@yahoo.com,+1-389-764-2701,Ontario,Health & Beauty,Sports Item 187,5,88.84,20,2024-03-24,2024-03-28,Pending,REP027,355.36
ORD014888,CUST00853,Wei Johnson,wei.johnson87@yahoo.com,+1-327-533-3124,Saskatchewan,Clothing,Electronics Item 116,16,60.38,15,2023-10-06,2023-10-08,Cancelled,REP028,821.17
ORD012225,CUST01585,Linda Martin,linda.martin35@gmail.com,+1-596-791-2053,Alberta,Food & Beverage,Health & Beauty Item 078,17,482.01,15,2023-12-25,2024-01-03,Returned,REP016,6965.04
ORD010530,CUST01973,David Lopez,david.lopez43@company.ca,+1-506-528-6384,British Columbia,Clothing,Health & Beauty Item 011,16,113.61,0,2023-08-16,2023-08-26,Pending,REP045,1817.76
ORD010065,CUST01589,Fatima Martin,fatima.martin30@company.ca,+1-560-324-4115,Manitoba,Home & Garden,Clothing Item 161,2,157.92,15,2024-05-02,2024-05-07,Completed,REP038,268.46
ORD014853,CUST01499,John Wang,john.wang42@company.ca,,British Columbia,Clothing,Health & Beauty Item 003,4,218.76,5,2022-04-08,2022-04-11,Shipped,REP044,831.29
ORD012426,CUST01157,Ana Anderson,ana.anderson52@gmail.com,+1-298-595-1639,British Columbia,Clothing,Health & Beauty Item 109,10,168.9,15,2022-05-13,2022-05-18,Cancelled,REP049,1435.65
ORD010410,CUST01635,Thomas Jackson,thomas.jackson90@gmail.com,123456789012345,Quebec,Electronics,Food & Beverage Item 056,5,182.41,5,2023-05-06,2023-05-19,Completed,REP002,866.45
ORD014746,CUST01132,Patricia White,patricia.white40@hotmail.com,+1-628-298-3987,Manitoba,Toys,Books Item 191,1,370.25,5,2023-12-16,2023-12-22,Cancelled,REP001,351.74
ORD010681,CUST00422,Priya Trivedi,priya.trivedi89@gmail.com,+1-276-606-1987,Alberta,Electronics,Sports Item 120,13,98.02,0,2024-01-23,2024-02-06,Shipped,REP014,1274.26
ORD012031,CUST01897,William Smith,william.smith18@company.ca,+1-908-318-7814,Ontario,Toys,Food & Beverage Item 047,15,169.77,0,2022-04-29,2022-05-09,Returned,REP014,2546.55
ORD013971,CUST01885,Fatima Hernandez,fatima.hernandez42@hotmail.com,+1-867-378-6079,Saskatchewan,Electronics,Home & Garden Item 174,10,379.46,0,2024-02-21,2024-03-06,Completed,REP044,3794.6
ORD011406,CUST01531,Patricia Rodriguez,user@,+1-677-880-7798,Ontario,Clothing,Food & Beverage Item 040,12,343.45,20,2023-12-08,2023-12-16,Completed,REP047,3297.12
ORD010833,CUST01789,Charles White,,+1-703-389-6468,Quebec,Clothing,Clothing Item 143,4,268.22,20,2022-02-02,2022-02-11,Completed,REP037,858.3
ORD010626,CUST01675,Barbara Garcia,barbara.garcia51@company.ca,+1-392-171-3351,Quebec,Food & Beverage,Sports Item 117,13,54.62,20,2024-06-25,2024-06-28,Pending,REP047,568.05
ORD013437,CUST01903,James Harris,james.harris87@hotmail.com,+1-432-620-6814,Ontario,Electronics,Food & Beverage Item 112,19,84.72,10,2022-05-24,2022-06-02,Shipped,REP045,1448.71
ORD012063,CUST00394,Robert Williams,robert.williams42@outlook.com,+1-775-844-4389,Quebec,Health & Beauty,Home & Garden Item 060,14,441.1,15,2023-11-18,2023-11-22,Cancelled,REP004,5249.09
ORD013519,CUST01384,William Brown,william.brown45@yahoo.com,+1-589-719-7502,Alberta,Food & Beverage,Books Item 043,15,466.62,0,2024-06-05,2024-06-06,Pending,REP026,6999.3
ORD010437,CUST01744,Fatima Brown,fatima.brown91@outlook.com,+1-575-814-4033,New Brunswick,Clothing,Home & Garden Item 091,13,214.93,20,2022-08-08,2022-08-17,Pending,REP027,2235.27
ORD013044,CUST01556,David Thomas,david.thomas48@outlook.com,+1-712-125-9965,Manitoba,Food & Beverage,Electronics Item 001,4,173.03,20,2024-04-18,2024-04-30,Completed,REP009,553.7
ORD012574,CUST01938,James Thomas,user.domain.com,+1-775-508-9709,New Brunswick,Books,Books Item 024,5,387.36,10,2022-06-10,2022-06-20,Returned,REP038,1743.12
ORD010977,CUST00075,Thomas Martinez,thomas.martinez49@hotmail.com,+1-249-878-4745,Quebec,Home & Garden,Clothing Item 158,18,29.78,0,2022-07-20,2022-08-03,Returned,REP017,536.04
ORD011626,CUST01067,Lisa Chen,user.domain.com,+1-636-499-5625,Alberta,Electronics,Electronics Item 095,4,297.47,10,2023-09-21,2023-09-26,Cancelled,REP029,1070.89
ORD011966,CUST01475,Akash Hernandez,akash.hernandez58@hotmail.com,+1-898-187-2204,Quebec,Health & Beauty,Sports Item 101,15,10.87,20,2022-05-30,2022-06-04,Cancelled,REP010,130.44
ORD010240,CUST01713,Maria Kumar,,+1-906-218-7828,New Brunswick,Food & Beverage,Clothing Item 141,9,239.83,5,2022-04-21,2022-05-02,Pending,REP045,2050.55
ORD010422,CUST01844,Mohammed Brown,mohammed.brown6@yahoo.com,+1-894-664-2914,Manitoba,Electronics,Food & Beverage Item 159,8,225.76,0,2024-01-20,2024-01-28,Shipped,REP004,1806.08
ORD011487,CUST01844,Thomas Kumar,thomas.kumar1@gmail.com,+1-382-111-5837,British Columbia,Books,Home & Garden Item 169,12,111.4,20,2024-04-21,2024-04-29,Completed,REP038,1069.44
ORD012964,CUST00990,Linda Jackson,linda.jackson49@outlook.com,+1-820-469-4305,,Home & Garden,Books Item 154,13,242.32,15,2023-05-13,2023-05-21,Completed,REP038,2677.64
ORD010033,CUST00955,Jessica White,,+1-411-952-7883,Nova Scotia,Electronics,Food & Beverage Item 123,1,471.66,10,2022-12-05,2022-12-14,Cancelled,REP027,424.49
ORD014302,CUST01033,Karen White,karen.white24@company.ca,+1-826-561-3180,New Brunswick,Electronics,Home & Garden Item 065,12,203.68,10,2022-01-03,2022-01-10,Pending,REP008,2199.74
ORD011421,CUST00540,Patricia Thomas,patricia.thomas97@outlook.com,+1-744-756-4766,New Brunswick,Electronics,Sports Item 026,16,162.43,5,2023-01-29,2023-02-11,Returned,REP002,2468.94
ORD013095,CUST00277,John Wang,john.wang38@hotmail.com,+1-736-889-1151,Saskatchewan,Food & Beverage,Books Item 033,4,60.67,20,2022-02-07,2022-02-09,Cancelled,REP020,194.14
ORD012886,CUST01657,James Thompson,james.thompson89@hotmail.com,+1-454-618-4019,Quebec,Home & Garden,Home & Garden Item 168,8,492.3,20,2022-02-01,2022-02-15,Cancelled,REP022,3150.72
ORD014678,CUST00187,Karen White,karen.white2@company.ca,+1-404-154-2692,Saskatchewan,Sports,Toys Item 193,5,433.17,15,2022-03-17,2022-03-18,Returned,REP002,1840.97
ORD012561,CUST01535,Karen Thompson,karen.thompson40@yahoo.com,+1-664-311-5380,Manitoba,Health & Beauty,Home & Garden Item 096,4,399.5,20,2023-11-09,2023-11-15,Cancelled,REP045,1278.4
ORD012647,CUST01411,James Lopez,james.lopez25@company.ca,+1-236-948-9670,Saskatchewan,Sports,Electronics Item 105,18,134.1,20,2024-06-26,2024-07-03,Pending,REP028,1931.04
ORD011010,CUST00336,Jennifer White,jennifer.white47@gmail.com,+1-983-395-6070,Quebec,Clothing,Home & Garden Item 032,1,477.02,0,2022-07-28,2022-08-09,Shipped,REP012,477.02
ORD014597,CUST00276,Susan Thomas,user.domain.com,,Ontario,Health & Beauty,Clothing Item 053,1,380.96,15,2024-02-18,2024-02-24,Completed,REP036,323.82
ORD011634,CUST00590,James Taylor,james.taylor92@hotmail.com,+1-448-408-2264,Saskatchewan,Home & Garden,Clothing Item 168,9,147.52,20,2022-04-15,2022-04-25,Cancelled,REP030,1062.14
ORD010079,CUST01996,Xin White,,+1-828-791-1430,Manitoba,Electronics,Home & Garden Item 070,10,461.16,10,2024-05-15,2024-05-24,Completed,REP012,4150.44
ORD013915,CUST01477,Karen Johnson,karen.johnson94@yahoo.com,+1-323-129-9318,Quebec,Toys,Books Item 185,18,366.24,10,2022-06-19,2022-06-23,Completed,REP017,5933.09
ORD013869,CUST01502,Thomas Singh,,+1-832-561-6506,Alberta,Sports,Electronics Item 059,13,466.41,20,2022-12-07,2022-12-11,Returned,REP037,4850.66
ORD010254,CUST00693,Carlos Martinez,carlos.martinez14@outlook.com,+1-247-748-3018,New Brunswick,Health & Beauty,Home & Garden Item 128,0,267.53,0,2022-07-15,2022-07-27,Returned,REP028,267.53
ORD011592,CUST00649,Thomas Harris,thomas.harris28@gmail.com,+1-337-995-1132,Manitoba,Electronics,Toys Item 074,8,223.2,15,2023-08-27,2023-09-10,Cancelled,REP007,1517.76
ORD011534,CUST00001,Charles Brown,,+1-831-293-4734,British Columbia,Books,Books Item 036,7,480.96,15,2022-09-15,2022-09-27,Completed,REP039,2861.71
ORD013606,CUST00697,Robert Chen,robert.chen2@outlook.com,+1-404-229-8586,Ontario,Toys,Home & Garden Item 071,3,332.21,15,2022-11-09,2022-11-23,Returned,REP017,847.14
ORD010931,CUST01549,Thomas Anderson,thomas.anderson82@outlook.com,+1-219-622-5745,New Brunswick,Electronics,Food & Beverage Item 141,3,24.86,20,2022-11-27,2022-12-04,Completed,REP014,59.66
ORD010227,CUST00335,Charles Lee,charles.lee34@gmail.com,+1-491-128-7333,Ontario,Home & Garden,Sports Item 057,8,340.46,10,2022-12-25,2022-12-31,Cancelled,REP033,2451.31
ORD012227,CUST99377,David Williams,david.williams51@outlook.com,+1-867-534-5278,Manitoba,Books,Sports Item 107,8,86.98,0,2024-05-20,2024-06-01,Shipped,REP027,695.84
ORD011340,CUST01769,Maria Brown,maria.brown14@hotmail.com,+1-635-802-8837,Alberta,Books,Books Item 098,16,48.37,15,2023-06-09,2023-06-19,Cancelled,REP048,657.83
ORD013950,CUST01970,Xin Johnson,xin.johnson86@company.ca,none,Quebec,Toys,Sports Item 187,9,480.61,20,2022-12-11,2022-12-15,Cancelled,REP042,3460.39
ORD011553,CUST01714,James Thompson,james.thompson41@outlook.com,+1-242-847-2040,New Brunswick,Electronics,Sports Item 105,7,27.56,20,2024-03-05,2024-03-09,Shipped,REP018,154.34
ORD010926,CUST01217,Akash Jackson,akash.jackson57@hotmail.com,+1-310-380-8470,Manitoba,Sports,Health & Beauty Item 073,6,295.31,10,2023-07-23,2023-07-26,Completed,REP008,1594.67
ORD011700,CUST00202,Jessica Martin,jessica.martin66@outlook.com,+1-690-507-3052,Alberta,Food & Beverage,Sports Item 111,18,265.35,10,2023-12-08,2023-12-22,Completed,REP006,4298.67
ORD013877,CUST01895,Barbara Singh,barbara.singh11@yahoo.com,+1-818-259-9823,British Columbia,Sports,Food & Beverage Item 149,14,375.58,20,2023-10-16,2023-10-18,Pending,REP035,4206.5
ORD010351,CUST01254,Richard Wang,,+1-763-489-1719,British Columbia,Toys,Home & Garden Item 042,5,93.54,0,2024-03-21,2024-03-30,Cancelled,REP020,467.7
ORD012456,CUST00580,Charles Chen,charles.chen19@outlook.com,+1-777-857-6240,New Brunswick,Toys,Sports Item 178,18,173.65,5,2022-03-26,2022-03-29,Returned,REP031,2969.42
ORD014604,CUST00489,Thomas Hernandez,thomas.hernandez95@yahoo.com,+1-911-740-3994,Manitoba,Health & Beauty,Clothing Item 088,6,174.09,20,2023-09-22,2023-09-30,Returned,REP039,835.63
ORD014505,CUST01118,William Williams,william.williams23@outlook.com,+1-879-806-6956,,Electronics,Electronics Item 114,7,466.28,0,2023-03-20,2023-04-02,Pending,REP029,3263.96
ORD013409,CUST01924,James Davis,james.davis43@gmail.com,+1-856-333-1814,Saskatchewan,Home & Garden,Books Item 025,4,139.93,5,2022-07-11,2022-07-18,Completed,REP047,531.73
ORD014486,CUST01347,Lisa Jackson,lisa.jackson39@hotmail.com,+1-455-433-5515,Nova Scotia,Clothing,Food & Beverage Item 099,6,414.44,0,2022-08-20,2022-08-29,Completed,REP013,2486.64
ORD010393,CUST00894,Mohammed Rodriguez,mohammed.rodriguez52@gmail.com,+1-753-331-1054,Nova Scotia,Health & Beauty,Clothing Item 146,18,467.85,10,2023-05-18,2023-05-26,Shipped,REP044,7579.17
ORD010831,CUST00045,Thomas Hernandez,thomas.hernandez18@gmail.com,+1-916-828-6143,Saskatchewan,Health & Beauty,Sports Item 048,11,236.82,15,2022-10-26,2022-11-07,Shipped,REP022,2214.27
ORD014008,CUST00359,Carlos Hernandez,carlos.hernandez23@outlook.com,+1-412-603-4267,Quebec,Food & Beverage,Home & Garden Item 078,7,213.1,20,2022-09-02,2022-09-06,Completed,REP049,1193.36
ORD013458,CUST01558,Jean Lee,jean.lee69@gmail.com,+1-965-774-6466,Ontario,Electronics,Electronics Item 184,0,454.17,20,2023-02-07,2023-02-14,Shipped,REP045,4360.03
ORD013292,CUST00034,Fatima Wilson,fatima.wilson92@hotmail.com,+1-366-117-9338,Manitoba,Clothing,Home & Garden Item 140,14,163.67,20,2022-06-22,2022-06-24,Completed,REP030,1833.1
ORD013126,CUST00460,Linda Wang,linda.wang86@outlook.com,+1-437-486-1606,Ontario,Toys,Health & Beauty Item 087,8,390.07,15,2024-01-04,2024-01-18,Returned,REP020,2652.48
ORD014350,CUST00709,Charles Brown,charles.brown92@company.ca,+1-582-341-6111,Ontario,Home & Garden,Health & Beauty Item 005,17,461.77,10,2024-03-06,2024-03-09,Pending,REP033,7065.08
ORD011158,CUST01277,Charles Williams,user@domain,+1-507-175-4513,Quebec,Sports,Toys Item 170,20,321.85,5,2023-03-12,2023-03-13,Pending,REP046,6115.15
ORD014518,CUST00581,William Jackson,user.domain.com,+1-904-629-4352,New Brunswick,Toys,Books Item 184,12,265.04,0,2023-12-20,2023-12-23,Pending,REP014,3180.48
ORD011032,CUST01091,Susan Martin,susan.martin43@outlook.com,+1-433-541-1269,Quebec,Clothing,Home & Garden Item 060,14,433.94,5,2024-02-17,2024-02-21,Cancelled,REP027,5771.4
ORD010724,CUST01353,Priya White,priya.white40@gmail.com,,Ontario,Toys,Books Item 193,19,112.19,0,2023-06-30,2023-07-01,Shipped,REP047,2131.61
ORD010468,CUST00107,John Brown,john.brown43@yahoo.com,,Ontario,Books,Food & Beverage Item 078,13,337.27,5,2023-07-25,2023-07-26,Returned,REP003,4165.28
ORD010803,CUST01994,Jessica Rodriguez,jessica.rodriguez37@company.ca,+1-961-602-4845,Nova Scotia,Home & Garden,Food & Beverage Item 156,4,53.01,5,2022-01-24,2022-02-06,Pending,REP008,201.44
ORD013752,CUST01267,Thomas Singh,thomas.singh64@hotmail.com,+1-990-360-3708,British Columbia,Toys,Health & Beauty Item 052,2,113.1,10,2023-11-29,2023-12-10,Returned,REP024,203.58
ORD013130,CUST01676,Wei Patel,,+1-919-753-1680,Manitoba,Books,Toys Item 005,8,441.23,20,2022-08-12,2022-08-21,Cancelled,REP013,2823.87
ORD014698,CUST00954,Maria Rodriguez,maria.rodriguez74@company.ca,+1-269-768-4324,Manitoba,Food & Beverage,Electronics Item 098,1,195.05,15,2022-02-28,2022-03-07,Completed,REP010,165.79
ORD012445,CUST00975,William Jackson,william.jackson29@outlook.com,+1-373-352-9736,Nova Scotia,Clothing,Toys Item 149,12,88.98,10,2022-01-15,2022-01-26,Returned,REP046,960.98
ORD012457,CUST00330,Richard Chen,richard.chen79@hotmail.com,+1-627-172-6116,British Columbia,Food & Beverage,Home & Garden Item 006,9,34.48,10,2022-09-11,2022-09-17,Pending,REP002,279.29
ORD012924,CUST00134,Robert Chen,robert.chen75@gmail.com,+1-952-117-6380,,Health & Beauty,Clothing Item 149,15,22.33,10,2023-12-07,2023-12-21,Cancelled,REP019,301.46
ORD013532,CUST01282,Jessica Davis,jessica.davis44@gmail.com,+1-665-871-5580,Saskatchewan,Electronics,Books Item 073,8,424.22,5,2022-07-19,2022-07-20,Cancelled,REP007,3224.07
ORD014220,CUST00988,Priya Wang,user@domain,+1-418-324-4385,Ontario,Clothing,Sports Item 133,20,45.82,20,2022-02-20,2022-03-01,Returned,REP028,733.12
ORD013235,CUST00929,Michael Jones,michael.jones20@yahoo.com,+1-954-687-2944,Quebec,Books,Food & Beverage Item 085,12,430.88,15,2023-11-06,2023-11-07,Pending,REP028,4394.98
ORD013692,CUST00351,Wei Rodriguez,wei.rodriguez27@company.ca,+1-861-334-6867,British Columbia,Food & Beverage,Electronics Item 022,15,498.71,15,2023-03-05,2023-03-12,Pending,REP027,6358.55
ORD014919,CUST00335,Linda Garcia,linda.garcia34@gmail.com,,British Columbia,Clothing,Toys Item 157,11,380.17,10,2022-03-04,2022-03-07,Pending,REP005,3763.68
